interaction_id,user_id,timestamp,input_length,response_length,response_time_ms,token_usage,satisfaction_score,retry_count,model_version,device_type,network_latency,ambiguity,creativity,factual_density,personalization,anomaly_flag,outlier_score,drift_score
1,8,1735724820,64,80,241,144,3,1,3,1,34,0.528601883689979,0.7289720060005754,0.10926725355818823,0.5742731150677747,0,0.18178161095328738,0.9955163763063611
2,9,1735728600,62,121,390,183,5,1,4,0,34,0.26536654943357985,0.7774351600174635,0.5906340778251248,0.4854089420100546,0,0.09393717171916549,0.49015232331077996
3,2,1735734600,26,13,108,39,1,2,4,1,70,0.963657442610793,0.6722735476746602,0.7005459485221976,0.7501271755902638,0,0.6556425588286899,0.3309049631034272
4,4,1735741620,41,71,202,112,1,2,4,0,41,0.9114872052347894,0.7761958287599253,0.403996583181529,0.09709013989309001,0,0.23316793325924545,0.5372612749330885
5,10,1735744500,44,70,311,114,5,1,1,0,28,0.9729051002113627,0.6937215720931722,0.40602956063053186,0.42821208748488515,0,0.5728144120710477,0.06439577411570185
6,10,1735754940,48,44,122,92,3,1,1,0,49,0.996919572209523,0.13577068228917677,0.5733113907143038,0.49882459493206066,0,0.9794187228352779,0.17720677030991405
7,6,1735767600,30,61,288,91,3,0,4,0,52,0.669800095180972,0.6082218974785071,0.0277840959071618,0.8310513103983777,0,0.31596182027953157,0.14892041734650996
8,10,1735784400,43,69,245,112,1,1,3,1,10,0.4516854958057447,0.7768766825595325,0.957865896386749,0.8142176602312994,0,0.03494427771672881,0.027915545071051873
9,11,1735786860,41,31,171,72,2,3,3,0,49,0.8507339014963048,0.8655166063244678,0.2899057070967094,0.8482653598499812,0,0.14282261439642052,0.7222123030452839
10,5,1735797540,68,139,418,207,4,3,2,1,67,0.023804877836338556,0.24623524268370767,0.1408908617688801,0.6978729278677018,0,0.11932200941117077,0.32547454586182356
11,11,1735812300,69,152,453,221,5,1,3,0,59,0.8344040447135034,0.12743076093853856,0.005488396134590401,0.5305558071848376,0,0.4632835272052358,0.1685363112420898
12,4,1735812780,52,123,324,175,5,3,1,1,94,0.49728602421100665,0.7810904435825796,0.8568915413857133,0.8278793213433822,0,0.7446505696606273,0.5122437705256234
13,3,1735818900,47,91,337,138,3,2,2,1,75,0.6732200270834178,0.25654834503566537,0.8632073757996691,0.8732824152552696,0,0.2964443857818584,0.3234444059720648
14,9,1735829160,57,103,331,160,3,0,3,0,78,0.3740460613425076,0.03192947832088733,0.09530660451771011,0.4804845926588137,0,0.14584277084384323,0.3930177707980791
15,8,1735832340,40,98,253,138,1,3,1,0,106,0.3686231538668159,0.8252135636493042,0.152241302888801,0.9856619078887716,0,0.6407667663289269,0.3155318170618111
16,2,1735852140,34,94,299,128,1,1,1,1,65,0.03171715281088772,0.50599113381086,0.44790223125776796,0.8748181249791787,0,0.30118020884924246,0.003983514358832152
17,10,1735866120,38,91,371,129,3,2,1,0,53,0.4237894304290133,0.32663313242842196,0.1857041730663156,0.5104696654214079,0,0.5751703493122327,0.688328864418925
18,3,1735868160,43,58,319,101,3,2,1,1,69,0.40835419541933005,0.011429105231549164,0.7358211368367569,0.06928759534710638,0,0.9337865596727519,0.11069047873405968
19,10,1735874580,34,65,285,99,1,1,4,1,38,0.22479110186807127,0.035327444707947686,0.058039745705722345,0.22449205087189628,0,0.2913469549265262,0.21914239706296945
20,1,1735910760,57,111,282,168,3,2,3,1,52,0.24732327353976746,0.7926232705602947,0.5497093323858661,0.7763985793762849,0,0.5124916144862686,0.1903170435638315
21,10,1735919340,68,86,316,154,4,2,4,1,37,0.5841395804425117,0.48970588496486445,0.3827915651139041,0.11115425699868475,0,0.8068119136312163,0.33136729549870747
22,10,1735934640,26,56,274,82,5,1,2,1,57,0.31777144253950307,0.14972204929646016,0.46494648369225156,0.4698000663192632,0,0.6917181124976282,0.1601976794963561
23,10,1735961340,55,144,444,199,5,1,3,1,36,0.8302519090172897,0.35850562724901813,0.42475711769560176,0.6048521921047275,0,0.7514781747791858,0.34695212418795407
24,8,1735967700,51,104,367,155,2,2,4,0,36,0.11138510685706648,0.1653051475375229,0.15315918253465366,0.8783468283705153,0,0.7725693748561002,0.24326434580773415
25,6,1735968720,61,139,416,200,2,0,2,1,58,0.5776449465750436,0.11288155318038662,0.22028148530856229,0.8471138628934799,0,0.5399160203340431,0.06121511317241102
26,9,1735971360,54,100,316,154,5,0,3,0,47,0.16004472713910234,0.2763078206741436,0.06480769891042659,0.7642779210597328,0,0.536062107902265,0.8705629771698292
27,4,1735978500,28,48,185,76,4,3,3,0,11,0.5282406269206588,0.5495085474623974,0.11528557529907124,0.407694242611199,0,0.7188895804484474,0.30558110709871145
28,10,1735984800,32,65,155,97,2,1,4,1,20,0.5525458869503187,0.2100066078122269,0.9778948224189149,0.14224925434229707,0,0.6976482701135557,0.09528214637638055
29,7,1735993560,55,82,300,137,4,2,4,1,27,0.6422976865257292,0.3436710812847671,0.27978681167725195,0.6696493095578478,0,0.6700576640296851,0.521526378952123
30,6,1736007780,73,112,353,185,1,2,3,1,32,0.4274249472728937,0.47793088395645966,0.3070255393395642,0.18128862248847266,0,0.3821346921426636,0.12327551836880324
31,7,1736024160,15,52,251,67,3,3,3,0,58,0.5094746851292544,0.4200297391831519,0.12710633043212105,0.5613144834086158,0,0.8285426456048768,0.7730932014568469
32,7,1736035620,61,137,327,198,2,2,4,0,54,0.18095261608129332,0.12862779912128963,0.7551642044967515,0.9806781824633444,0,0.2362028893708893,0.06157794323983956
33,1,1736066460,76,116,384,192,5,2,3,1,71,0.46301534973632963,0.03886563553588818,0.924142810187282,0.5503097758072746,0,0.15573196635271225,0.4646359499442313
34,2,1736105460,52,112,446,164,1,3,2,0,65,0.37303038909429054,0.03545872694893892,0.789750537066651,0.6455568672604475,0,0.34516221911570155,0.9438263301157783
35,3,1736119500,64,113,349,177,5,3,3,1,71,0.6661311046544097,0.35017901802786733,0.6126158294341718,0.6775754719161738,0,0.25383124040495597,0.15896905365841352
36,2,1736140500,42,82,280,124,2,0,3,0,62,0.43482172349648607,0.7188020785373228,0.8132329156105762,0.8303883576755049,0,0.6631825122031564,0.20136867690549798
37,6,1736146020,52,102,339,154,1,2,1,1,54,0.7793416509802202,0.13125529872927066,0.4042302329328584,0.43498067810704877,0,0.23101785114996087,0.6004649113952157
38,9,1736147520,25,64,349,89,4,0,3,0,71,0.42599209857369214,0.7869801163644256,0.8594973550806875,0.4975099010524977,0,0.6564898383508689,0.9798540715953394
39,8,1736156580,12,23,114,35,4,3,3,0,68,0.23577117297395866,0.7156743093138368,0.798518849638182,0.17597201392458994,0,0.5132227948407885,0.38583574828559375
40,6,1736184540,71,156,442,227,1,0,4,1,57,0.2736887189585846,0.0039434908856111894,0.001724644256319019,0.614679887737502,0,0.15245006807525963,0.6486450927772066
41,11,1736186220,37,72,224,109,1,0,3,1,75,0.04528522509163657,0.02674787298184511,0.487794134917517,0.2957580063243892,0,0.2583962641210229,0.15231706278163393
42,7,1736190900,46,95,282,141,1,0,1,1,5,0.5399188106009101,0.19503321553805164,0.2646165760792262,0.5076247488886996,0,0.5217267843032228,0.6413971332643023
43,1,1736201640,30,37,191,67,3,2,4,1,44,0.8308808839003218,0.05612091105058503,0.08623291636769548,0.7665571935098978,0,0.7331053039236981,0.2526620649548932
44,10,1736207820,29,95,377,124,1,0,3,0,43,0.7691117068175701,0.5313431052703059,0.8461960427477748,0.017569904681986603,0,0.39825164417467596,0.6132876074913306
45,7,1736208360,51,101,412,152,4,0,2,1,73,0.4377894663384714,0.039627261458415775,0.007949684301122306,0.5639155265843732,0,0.23283264217804,0.08866120808360944
46,8,1736253180,41,88,318,129,1,2,4,0,81,0.1961203551445122,0.8026458379953977,0.7301635020553603,0.17344501731068973,0,0.2950782090937888,0.5249690217053291
47,7,1736261520,61,77,255,138,4,3,2,1,20,0.8634844432974528,0.4929620689458105,0.9881921209971861,0.27938333978385366,0,0.09511718927339685,0.2374049946732404
